✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BISNAGA EXCY PINK 8G (ID: 69398103) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69398019 (BISNAGA HANNY BLUE 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BISNAGA HANNY BLUE 8G (ID: 69398019) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69397929 (BISNAGA PROLONG BLACK 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BISNAGA PROLONG BLACK 8G (ID: 69397929) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69365152 (KARAMELA CALCINHA MENTA TAM G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KARAMELA CALCINHA MENTA TAM G (ID: 69365152) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69296769 (CHIBATA CRAVO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CHIBATA CRAVO (ID: 69296769) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 69024093 (FACIL LUB SABORES 60G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto FACIL LUB SABORES 60G (ID: 69024093) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68945655 (CALCINHA BIQUINE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA BIQUINE (ID: 68945655) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68924518 (BODY LAÇO    SFBL01) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BODY LAÇO    SFBL01 (ID: 68924518) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68907383 (CALCINHA BORBOLETA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA BORBOLETA (ID: 68907383) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68903388 (vestido strass) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto vestido strass (ID: 68903388) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68690175 (OHH DELICIA AROMA DE MORANGO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto OHH DELICIA AROMA DE MORANGO (ID: 68690175) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68618838 (LAP BISNAGA HUO BING ORIENTAL 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP BISNAGA HUO BING ORIENTAL 8G (ID: 68618838) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68618676 (L026 LAP BISNAGA TIEMPO 8G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L026 LAP BISNAGA TIEMPO 8G (ID: 68618676) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68605074 (SADO TRIO - Coleira, Algema e Tornoz c/ corrente) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SADO TRIO - Coleira, Algema e Tornoz c/ corrente (ID: 68605074) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68565879 (86SQ DADINHO DIVERSIDADE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto 86SQ DADINHO DIVERSIDADE (ID: 68565879) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68548505 (CALCINHA PERSO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA PERSO (ID: 68548505) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68356692 (FACIL LUB MORANGO C CHAMPAGNE) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto FACIL LUB MORANGO C CHAMPAGNE (ID: 68356692) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68113375 (CALCINHA CORACAO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CALCINHA CORACAO (ID: 68113375) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68113047 (CONJUNTO SEDUCAO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CONJUNTO SEDUCAO (ID: 68113047) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68005237 (ACESSORIO PARA MONTAR NOME) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto ACESSORIO PARA MONTAR NOME (ID: 68005237) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 68005012 (LETRAS  PERSONALIZADAS DOURADA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LETRAS  PERSONALIZADAS DOURADA (ID: 68005012) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 67766931 (PROTESE FOGO DA PAIXAO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PROTESE FOGO DA PAIXAO (ID: 67766931) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 67701660 (LUBRIFICANTE HO ALGODAO DOCE) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LUBRIFICANTE HO ALGODAO DOCE (ID: 67701660) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 67328405 (Lubrificante Chocolate Premium) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Lubrificante Chocolate Premium (ID: 67328405) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66880695 (L308 Toque Seductor Seco) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L308 Toque Seductor Seco (ID: 66880695) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66880515 (L307 Toque Seductor Molhado) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto L307 Toque Seductor Molhado (ID: 66880515) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418018 (BABALOO ICE CEREJA.  Lotes:27541 Qtd.: 10,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BABALOO ICE CEREJA.  Lotes:27541 Qtd.: 10,000, (ID: 66418018) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418017 (BABALOO ICE UVA SUPER DESLIZANTE UVA.  Lotes:27939 Qtd.: 10,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto BABALOO ICE UVA SUPER DESLIZANTE UVA.  Lotes:27939 Qtd.: 10,000, (ID: 66418017) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418015 (GEL MAMA TETA.  Lotes:28244 Qtd.: 20,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL MAMA TETA.  Lotes:28244 Qtd.: 20,000, (ID: 66418015) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418014 (GEL XUPA XANA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL XUPA XANA (ID: 66418014) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418013 (GEL XUPA ROLA.  Lotes:28154 Qtd.: 50,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GEL XUPA ROLA.  Lotes:28154 Qtd.: 50,000, (ID: 66418013) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418012 (GLOSS BABALOO CEREJA.  Lotes:28429 Qtd.: 5,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOSS BABALOO CEREJA.  Lotes:28429 Qtd.: 5,000, (ID: 66418012) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418010 (GLOSS BABALOO TUTTI FRUTTI.  Lotes:28618 Qtd.: 5,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOSS BABALOO TUTTI FRUTTI.  Lotes:28618 Qtd.: 5,000, (ID: 66418010) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66418009 (GLOSS BABALOO MELANCIA.  Lotes:28431 Qtd.: 5,000,) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOSS BABALOO MELANCIA.  Lotes:28431 Qtd.: 5,000, (ID: 66418009) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66153017 (MELZINHO ARABE CHILLES) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto MELZINHO ARABE CHILLES (ID: 66153017) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66135172 (DESODORANTE SPRAY OUSADA) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto DESODORANTE SPRAY OUSADA (ID: 66135172) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 66135170 (CREME HIDRATANTE OUSADA 115G) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CREME HIDRATANTE OUSADA 115G (ID: 66135170) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826662 (LAP LOVE LUB NEUTRO 60g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP LOVE LUB NEUTRO 60g (ID: 65826662) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826661 (LAP LOVE LUB HOT 60G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP LOVE LUB HOT 60G (ID: 65826661) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826659 (LAP LOVE LUB Bubbalove Morango 60g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP LOVE LUB Bubbalove Morango 60g (ID: 65826659) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826658 (LAP LOVE LUB Bubbalove Tutti Frutti 60g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP LOVE LUB Bubbalove Tutti Frutti 60g (ID: 65826658) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826656 (LAP LOVE LUB Bubbalove Menta Ice 60g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP LOVE LUB Bubbalove Menta Ice 60g (ID: 65826656) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826651 (LAP SHOCK-G CHOCOLATE 15g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SHOCK-G CHOCOLATE 15g (ID: 65826651) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826650 (LAP SHOCK-G CHICLETE 15g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SHOCK-G CHICLETE 15g (ID: 65826650) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826649 (LAP SHOCK-G ALGODÃO DOCE 15g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SHOCK-G ALGODÃO DOCE 15g (ID: 65826649) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826640 (LAP EXOTIC BLACK Unisex 20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP EXOTIC BLACK Unisex 20ml (ID: 65826640) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826638 (LAP MISTIC BLACK Unisex 20ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP MISTIC BLACK Unisex 20ml (ID: 65826638) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826636 (LAP PALAWAN FEM15ML) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP PALAWAN FEM15ML (ID: 65826636) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826634 (LAP VELA CHICLETE 45G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA CHICLETE 45G (ID: 65826634) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826633 (LAP VELA GELADA 45G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA GELADA 45G (ID: 65826633) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826632 (LAP VELA MORANGO 45G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA MORANGO 45G (ID: 65826632) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826631 (LAP VELA BEIJAVEL ALGODAO DOCE CARAMELO 50g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA BEIJAVEL ALGODAO DOCE CARAMELO 50g (ID: 65826631) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826630 (LAP VELA BEIJAVEL ALGODAO DOCE CHICLETE 50g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA BEIJAVEL ALGODAO DOCE CHICLETE 50g (ID: 65826630) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826629 (LAP VELA BEIJAVEL ALGODAO DOCE MORANGO 50g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA BEIJAVEL ALGODAO DOCE MORANGO 50g (ID: 65826629) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826628 (LAP VELA BEIJAVEL SORVETE MENTA ICE 50g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP VELA BEIJAVEL SORVETE MENTA ICE 50g (ID: 65826628) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826627 (LAP ALGODAO DOCE ABACAXI) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP ALGODAO DOCE ABACAXI (ID: 65826627) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826623 (LAP ALGODAO DOCE MORANGO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP ALGODAO DOCE MORANGO (ID: 65826623) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826618 (LAP SORVETE MENTA ICE 35ml) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP SORVETE MENTA ICE 35ml (ID: 65826618) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65826616 (LAP Baba Lamb Chiclete Hot 30g) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP Baba Lamb Chiclete Hot 30g (ID: 65826616) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65539277 (KGEL SEDUCTION MAIS QUENTE COM CANELA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto KGEL SEDUCTION MAIS QUENTE COM CANELA (ID: 65539277) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 65328683 (Dadinho Promoção) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Dadinho Promoção (ID: 65328683) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64757822 (SENTA.DONA 18G) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SENTA.DONA 18G (ID: 64757822) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64757813 (CARROSSEL DOCE DE LEITE 18G) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CARROSSEL DOCE DE LEITE 18G (ID: 64757813) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64601649 (SEDENTA POR ORAL CEREJA ICE 50G) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR ORAL CEREJA ICE 50G (ID: 64601649) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64539375 (Blow Girls) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Blow Girls (ID: 64539375) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64483051 (Calcinha joia Sex Fire) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha joia Sex Fire (ID: 64483051) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64482765 (Calcinha Lação Sex Fire) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha Lação Sex Fire (ID: 64482765) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64272454 (GLOW GEL DE MASSAGEM CORPORAL UVA 10G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOW GEL DE MASSAGEM CORPORAL UVA 10G (ID: 64272454) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64272325 (GLOW GEL DE MASSAGEM CORPORAL CHICLETE 10G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOW GEL DE MASSAGEM CORPORAL CHICLETE 10G (ID: 64272325) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 64272271 (GLOW GEL DE MASSAGEM CORPORAL ALGODÃO DOCE 10G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto GLOW GEL DE MASSAGEM CORPORAL ALGODÃO DOCE 10G (ID: 64272271) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 63501541 (PEPPER BALL SEDENTA NIVEL HARD 2 UNID) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PEPPER BALL SEDENTA NIVEL HARD 2 UNID (ID: 63501541) não pode ser sincronizado. Campos faltando: código interno (SKU), peso, altura, largura, profundidade
